"targets"
"Vim"
"Timp2"
"Klf6"
"Mmp2"
"Hmox1"
"Col1a1"
"Cd83"
"Sparc"
"Fn1"
"Gadd45a"
"Id3"
"Mmp8"
"Sgk1"
"Sox9"
"Id1"
"Pim1"
"Ier3"
"S100a8"
"Slc25a37"
"Gsn"
"Lcn2"
"Mmp3"
"Ubc"
"Sparcl1"
"Adamts1"
"Fcer1g"
"Lmna"
"Atf3"
"Camp"
"Col1a2"
"Prdx2"
"Fth1"
"Col3a1"
"Tm4sf1"
"Gypa"
"Cd14"
"Bgn"
"Zfp36l1"
"Serpinb2"
"Hspa1a"
"Hspa1b"
"Trbc2"
"Ighm"
"Hmbs"
"Hp"
"Cd44"
"Timp3"
"Tsc22d3"
"Cldn4"
"S100a14"
